,Cat,Name,Set,Rep
1,Push,,,
,,Machine Chest Press,3,10
,,Cable 1 arm chest press,3,10
,,Machine incline chest press,3,10
,,Machine actu shoulder press (neutral),3,10
,,Machine Seated Triceps Ext,3,10
,,"Supersets
--
Machine Assisted Dip
Assisted Chin/Dip Trciceps pushdown",3,10 each
,,Push Ups,3,til fail
,,,,
2,Pull,,,
,,Rowing Machine,5min ,
,,Cable Pulldown,3,10
,,Cable Row,3,10
,,Machine Biceps Curl,3,10
,,Cable 1 Arm Row,3,10
,,Cable Biceps Curl (Straight Bar),3,10
,,Machine Rear Delt Fly,3,10
,,Machine Pulldown,3,10
,,,,
3,Legs,,,
,,Stair climbing,5min,
,,machine leg press,3,10
,,machine 1 leg press,3,10
,,machine leg ext,3,10
,,machine hip abduction in to out,3,10
,,machine hip abduction out to in,3,10
,,plate loaded seated calf raise,3,10
,,,,
4,Rest,,,
,,,,
5,Push,,,
,,Machine Chest Press,3,10
,,Plate Loaded Incline Chest Press,3,10
,,Dual Cable Chest Press,3,10
,,Cable Reverse Triceps Ext (Straight Bar),3,10
,,Machine Shoulder Press (Neutral),3,10
,,Full plank,3,1 min / set
,,Planks (Forearms -> hands),3,10
,,,,
6,Pull,,,
,,Bar Hang (Neutral),3,as long as possible
,,"Supersets
--
Cable 1 Arm Row (Rotational)
Dual Cable Row (Rotational)",3,10 each
,,Cable Pulldown (Underhand),3,10
,,Dumbbell Biceps Curl,3,10
,,Dumbbell Hammer Curl,3,10
,,Cable Bent Over Row (Dual Handles),3,10
,,Machine Rear Delt Fly (Overhand),3,10
,,,,
7,Legs,,,
,,idk wtf happened here ,,
,,,,
8,Rest,,,
,,,,
9,Push,,,
,,Push Up,3,10
,,Dumbbell Chest Press,3,10
,,Machine Chest Fly,3,10
,,Machine Side Raise,3,10
,,Machine Seated Triceps Ext,3,10
,,Machine Shuolder Press,3,10
,,Dual Cable Chest Fly,3,10
,,Dumbbell Seated 1-Arm Overhead Tricep Extension,3,10
,,,,
10,Pull,,,
,,Rowing Machine,5min,
,,Resistant Band Overhead Pull Apart,3,10
,,Dumbbell 1-Arm Jrow,3,10
,,Cable Curl,3,10
,,Dual Cable Pulldown,3,19
,,Plate Loaded 1-Arm Row,3,10
,,Dumbbell Hammer Curl,3,10
,,Cable Curl ,3,10
,,,,
11,Rest,,,
,,,,
12,Legs,,,
,,Stair Climbing,10m,
,,Upright Bike,10m,
,,Machine Glute Kickback,3,10
,,"Superset
--
Machine Hip Abduction out to in
Machine Hip Abduction in to out",3,10 each
,,Plate Loaded Hack Squat,3,10
,,Plate Loaded Leg Press,3,10
,,Machine Standing Calf Raise,3,10
,,,,
13,Push,,,
,,Air Bike,10m,
,,Plank,3,until failure
,,Plank Shoulder Tap,3,10
,,Dumbbbell Overhead Triceps Ext,3,10
,,Machine Chest Fly,3,10
,,Mplate Loaded Incline Chest Rpess,3,10
,,Dumbbell Incline Shoulder Press (Neutral),3,10
,,Machine Seated Triceps Extension,3,10
,,,,
14,Rest,,,
,,,,
15,Pull,,,
,,Rope Ergometer,5,60s each
,,Cable Row,4,12
,,Machine Rear Delt Fly,4,12
,,Cable Pulldown,4,12
,,EZ Bar Biceps Curl,3,10
,,Dumbell Pullover,3,10
,,Machine Biceps Curl,3,10
,,,,
,,,,
16,Legs,,,
,,Upright Bike,10m,
,,Machine Leg Extension,4,12
,,Machine Seated Leg Curl,4,12
,,Machine Standing Calf Raise,3,10
,,Machine Hip Abduction Out To In,3,10
,,Machine Hip Abduction In To Out,3,10
